order_id,date,region,category,channel,quantity,unit_price,discount,revenue,month,month_num,quarter,profit_margin,profit
ORD-00084,2023-08-25,West,Clothing,In-Store,9,174.74,0.0,1572.66,Aug,8,Q3,0.233,366.43
ORD-00085,2023-12-04,North,Electronics,Wholesale,11,1157.45,0.0,12731.95,Dec,12,Q4,0.275,3501.29
ORD-00086,2023-02-22,East,Electronics,Online,9,378.6,0.0,3407.4,Feb,2,Q1,0.433,1475.4
ORD-00087,2023-10-07,East,Food & Beverage,In-Store,9,9.85,0.0,88.65,Oct,10,Q4,0.367,32.53
ORD-00088,2023-08-05,North,Food & Beverage,Wholesale,6,15.7,0.05,89.49,Aug,8,Q3,0.25,22.37
ORD-00089,2023-09-09,North,Food & Beverage,Online,10,50.13,0.05,476.24,Sep,9,Q3,0.119,56.67
ORD-00090,2023-07-07,North,Furniture,Wholesale,6,634.85,0.0,3809.1,Jul,7,Q3,0.159,605.65
ORD-00091,2023-02-10,South,Clothing,Wholesale,3,134.49,0.0,403.47,Feb,2,Q1,0.26,104.9
ORD-00092,2023-06-06,South,Sports,Wholesale,1,178.66,0.1,160.79,Jun,6,Q2,0.385,61.9
ORD-00093,2023-01-15,East,Furniture,Online,7,553.82,0.05,3682.9,Jan,1,Q1,0.233,858.12
ORD-00094,2023-10-28,South,Furniture,Online,4,332.46,0.0,1329.84,Oct,10,Q4,0.288,382.99
ORD-00095,2023-03-06,South,Electronics,Wholesale,1,651.06,0.1,585.95,Mar,3,Q1,0.412,241.41
ORD-00096,2023-12-11,West,Clothing,Online,8,162.75,0.0,1302.0,Dec,12,Q4,0.42,546.84
ORD-00097,2023-11-23,South,Clothing,In-Store,12,196.62,0.1,2123.5,Nov,11,Q4,0.176,373.74
ORD-00098,2023-01-09,West,Clothing,Online,6,187.85,0.0,1127.1,Jan,1,Q1,0.115,129.62
ORD-00099,2023-12-10,South,Furniture,Online,6,845.77,0.0,5074.62,Dec,12,Q4,0.207,1050.45
ORD-00100,2023-05-09,East,Furniture,Online,2,409.82,0.15,696.69,May,5,Q2,0.344,239.66
ORD-00101,2023-05-16,North,Food & Beverage,In-Store,1,30.78,0.0,30.78,May,5,Q2,0.433,13.33
ORD-00102,2023-03-04,East,Food & Beverage,Online,13,43.81,0.1,512.58,Mar,3,Q1,0.127,65.1
ORD-00103,2023-05-19,South,Food & Beverage,In-Store,14,55.72,0.0,780.08,May,5,Q2,0.11,85.81
ORD-00104,2023-03-22,North,Food & Beverage,In-Store,14,12.81,0.05,170.37,Mar,3,Q1,0.409,69.68
ORD-00105,2023-06-12,North,Sports,In-Store,2,142.57,0.15,242.37,Jun,6,Q2,0.362,87.74
ORD-00106,2023-10-16,North,Electronics,In-Store,4,296.21,0.0,1184.84,Oct,10,Q4,0.447,529.62
ORD-00107,2023-09-18,West,Electronics,Online,2,792.61,0.1,1426.7,Sep,9,Q3,0.239,340.98
ORD-00108,2023-08-19,East,Electronics,Online,1,471.62,0.05,448.04,Aug,8,Q3,0.246,110.22
ORD-00109,2023-02-10,West,Food & Beverage,Online,7,22.94,0.05,152.55,Feb,2,Q1,0.16,24.41
ORD-00110,2023-01-28,North,Sports,In-Store,11,56.24,0.05,587.71,Jan,1,Q1,0.141,82.87
ORD-00111,2023-05-15,East,Electronics,In-Store,11,517.29,0.15,4836.66,May,5,Q2,0.303,1465.51
ORD-00112,2023-07-20,East,Sports,Online,12,349.12,0.0,4189.44,Jul,7,Q3,0.227,951.0
ORD-00113,2023-11-24,South,Electronics,Online,8,394.73,0.0,3157.84,Nov,11,Q4,0.128,404.2
ORD-00114,2023-09-25,West,Sports,In-Store,6,287.22,0.15,1464.82,Sep,9,Q3,0.41,600.58
ORD-00115,2023-02-02,West,Clothing,Online,4,133.33,0.1,479.99,Feb,2,Q1,0.169,81.12
ORD-00116,2023-02-17,South,Electronics,Wholesale,14,1056.66,0.0,14793.24,Feb,2,Q1,0.362,5355.15
ORD-00117,2023-03-03,West,Furniture,Online,6,188.48,0.05,1074.34,Mar,3,Q1,0.199,213.79
ORD-00118,2023-08-04,North,Clothing,Wholesale,3,195.97,0.05,558.51,Aug,8,Q3,0.385,215.03
ORD-00119,2023-10-20,North,Clothing,Online,12,124.87,0.0,1498.44,Oct,10,Q4,0.141,211.28
ORD-00120,2023-04-09,West,Clothing,Online,8,199.19,0.0,1593.52,Apr,4,Q2,0.365,581.63
ORD-00121,2023-06-21,South,Food & Beverage,Online,10,55.13,0.05,523.74,Jun,6,Q2,0.134,70.18
ORD-00122,2023-12-26,East,Furniture,Online,14,261.64,0.0,3662.96,Dec,12,Q4,0.256,937.72
ORD-00123,2023-08-02,West,Clothing,Online,13,30.11,0.1,352.29,Aug,8,Q3,0.357,125.77
ORD-00124,2023-02-04,East,Food & Beverage,Online,13,19.06,0.1,223.0,Feb,2,Q1,0.161,35.9
ORD-00125,2023-08-15,South,Food & Beverage,In-Store,2,34.02,0.0,68.04,Aug,8,Q3,0.2,13.61
ORD-00126,2023-04-11,East,Clothing,Online,5,50.89,0.0,254.45,Apr,4,Q2,0.403,102.54
ORD-00127,2023-05-11,South,Clothing,In-Store,1,50.14,0.0,50.14,May,5,Q2,0.41,20.56
ORD-00128,2023-09-14,South,Electronics,Online,6,635.72,0.0,3814.32,Sep,9,Q3,0.116,442.46
ORD-00129,2023-01-05,North,Electronics,Wholesale,2,184.93,0.1,332.87,Jan,1,Q1,0.159,52.93
ORD-00130,2023-08-06,North,Food & Beverage,In-Store,4,11.7,0.0,46.8,Aug,8,Q3,0.141,6.6
ORD-00131,2023-09-12,South,Electronics,Online,6,586.65,0.05,3343.9,Sep,9,Q3,0.163,545.06
ORD-00132,2023-12-25,West,Furniture,Online,10,131.77,0.0,1317.7,Dec,12,Q4,0.44,579.79
ORD-00133,2023-10-10,North,Food & Beverage,Online,11,26.82,0.0,295.02,Oct,10,Q4,0.293,86.44
ORD-00134,2023-07-26,South,Electronics,Online,8,647.71,0.0,5181.68,Jul,7,Q3,0.264,1367.96
ORD-00135,2023-01-15,East,Furniture,In-Store,12,450.04,0.0,5400.48,Jan,1,Q1,0.445,2403.21
ORD-00136,2023-12-12,East,Clothing,In-Store,8,176.45,0.0,1411.6,Dec,12,Q4,0.295,416.42
ORD-00137,2023-02-11,West,Sports,Wholesale,11,226.12,0.0,2487.32,Feb,2,Q1,0.331,823.3
ORD-00138,2023-06-28,East,Furniture,In-Store,6,463.74,0.15,2365.07,Jun,6,Q2,0.216,510.86
ORD-00139,2023-03-04,East,Food & Beverage,Wholesale,4,27.59,0.1,99.32,Mar,3,Q1,0.234,23.24
ORD-00140,2023-12-18,South,Furniture,Wholesale,8,750.45,0.0,6003.6,Dec,12,Q4,0.308,1849.11
ORD-00141,2023-08-19,East,Electronics,Wholesale,13,1089.81,0.0,14167.53,Aug,8,Q3,0.124,1756.77
ORD-00142,2023-08-29,East,Food & Beverage,Online,8,51.93,0.0,415.44,Aug,8,Q3,0.19,78.93
ORD-00143,2023-02-21,East,Sports,Online,10,279.21,0.0,2792.1,Feb,2,Q1,0.169,471.86
ORD-00144,2023-04-06,East,Food & Beverage,Online,14,12.55,0.0,175.7,Apr,4,Q2,0.106,18.62
ORD-00145,2023-08-10,South,Food & Beverage,In-Store,1,20.23,0.0,20.23,Aug,8,Q3,0.288,5.83
ORD-00146,2023-08-19,East,Sports,Online,4,47.04,0.0,188.16,Aug,8,Q3,0.296,55.7
ORD-00147,2023-08-25,West,Electronics,Online,4,1127.37,0.0,4509.48,Aug,8,Q3,0.234,1055.22
ORD-00148,2023-05-23,North,Electronics,Online,7,843.84,0.0,5906.88,May,5,Q2,0.194,1145.93
ORD-00149,2023-06-20,West,Food & Beverage,Online,14,46.05,0.0,644.7,Jun,6,Q2,0.328,211.46
ORD-00150,2023-01-29,North,Clothing,In-Store,14,76.08,0.1,958.61,Jan,1,Q1,0.147,140.92
ORD-00151,2023-02-05,West,Food & Beverage,Online,11,51.51,0.0,566.61,Feb,2,Q1,0.282,159.78
ORD-00152,2023-01-13,North,Sports,In-Store,7,126.05,0.0,882.35,Jan,1,Q1,0.369,325.59
ORD-00153,2023-06-09,North,Clothing,In-Store,13,20.3,0.05,250.7,Jun,6,Q2,0.158,39.61
ORD-00154,2023-11-23,North,Electronics,Online,11,545.24,0.15,5097.99,Nov,11,Q4,0.364,1855.67
ORD-00155,2023-07-06,North,Food & Beverage,In-Store,8,36.39,0.15,247.45,Jul,7,Q3,0.366,90.57
ORD-00156,2023-08-31,South,Clothing,In-Store,11,106.17,0.1,1051.08,Aug,8,Q3,0.121,127.18
ORD-00157,2023-03-27,West,Food & Beverage,Online,5,52.41,0.0,262.05,Mar,3,Q1,0.107,28.04
ORD-00158,2023-10-11,North,Clothing,Online,7,38.97,0.05,259.15,Oct,10,Q4,0.441,114.29
ORD-00159,2023-03-07,West,Food & Beverage,Online,8,35.46,0.1,255.31,Mar,3,Q1,0.168,42.89
ORD-00160,2023-06-19,East,Electronics,In-Store,9,688.63,0.0,6197.67,Jun,6,Q2,0.388,2404.7
ORD-00161,2023-02-14,North,Food & Beverage,In-Store,3,20.48,0.05,58.37,Feb,2,Q1,0.297,17.34
ORD-00162,2023-03-03,West,Furniture,Online,3,754.23,0.15,1923.29,Mar,3,Q1,0.193,371.19
ORD-00163,2023-05-14,South,Furniture,Online,4,697.34,0.0,2789.36,May,5,Q2,0.145,404.46
ORD-00164,2023-10-11,West,Electronics,Online,5,919.5,0.0,4597.5,Oct,10,Q4,0.274,1259.72
ORD-00165,2023-01-28,North,Food & Beverage,In-Store,10,53.19,0.0,531.9,Jan,1,Q1,0.243,129.25
ORD-00166,2023-04-18,East,Sports,Online,1,297.43,0.0,297.43,Apr,4,Q2,0.345,102.61
ORD-00167,2023-02-13,West,Electronics,In-Store,7,393.43,0.0,2754.01,Feb,2,Q1,0.416,1145.67
ORD-00168,2023-12-06,East,Electronics,Online,9,890.84,0.05,7616.68,Dec,12,Q4,0.382,2909.57
ORD-00169,2023-10-13,South,Electronics,In-Store,8,473.09,0.1,3406.25,Oct,10,Q4,0.196,667.62
ORD-00170,2023-11-27,West,Food & Beverage,In-Store,5,18.32,0.0,91.6,Nov,11,Q4,0.408,37.37
ORD-00171,2023-05-08,West,Food & Beverage,In-Store,14,9.02,0.15,107.34,May,5,Q2,0.392,42.08
ORD-00172,2023-12-14,South,Furniture,Online,14,690.1,0.0,9661.4,Dec,12,Q4,0.425,4106.09
ORD-00173,2023-08-19,South,Electronics,In-Store,4,896.55,0.0,3586.2,Aug,8,Q3,0.261,936.0
ORD-00174,2023-07-09,South,Clothing,Online,12,62.21,0.1,671.87,Jul,7,Q3,0.369,247.92
ORD-00175,2023-08-13,North,Furniture,Online,7,694.49,0.1,4375.29,Aug,8,Q3,0.307,1343.21
ORD-00176,2023-10-10,North,Furniture,In-Store,5,832.63,0.05,3954.99,Oct,10,Q4,0.209,826.59
ORD-00177,2023-05-01,West,Sports,In-Store,7,69.97,0.15,416.32,May,5,Q2,0.448,186.51
ORD-00178,2023-04-26,West,Electronics,In-Store,12,394.27,0.1,4258.12,Apr,4,Q2,0.113,481.17
ORD-00179,2023-08-21,West,Food & Beverage,Online,1,46.26,0.15,39.32,Aug,8,Q3,0.157,6.17
ORD-00180,2023-09-16,East,Clothing,In-Store,1,69.41,0.0,69.41,Sep,9,Q3,0.412,28.6
ORD-00181,2023-12-25,South,Clothing,In-Store,10,132.44,0.1,1191.96,Dec,12,Q4,0.121,144.23
ORD-00182,2023-07-17,West,Food & Beverage,Wholesale,14,9.46,0.2,105.95,Jul,7,Q3,0.41,43.44
ORD-00183,2023-05-17,South,Food & Beverage,In-Store,13,29.87,0.1,349.48,May,5,Q2,0.35,122.32
ORD-00184,2023-11-14,North,Sports,In-Store,3,303.46,0.0,910.38,Nov,11,Q4,0.113,102.87
ORD-00185,2023-06-14,South,Electronics,Online,14,870.84,0.05,11582.17,Jun,6,Q2,0.25,2895.54
ORD-00186,2023-08-13,East,Electronics,In-Store,11,1005.83,0.05,10510.92,Aug,8,Q3,0.364,3825.97
ORD-00187,2023-11-03,East,Food & Beverage,In-Store,2,53.26,0.0,106.52,Nov,11,Q4,0.304,32.38
ORD-00188,2023-08-22,South,Furniture,Wholesale,2,714.01,0.2,1142.42,Aug,8,Q3,0.428,488.96
ORD-00189,2023-06-21,East,Clothing,Online,7,140.89,0.0,986.23,Jun,6,Q2,0.404,398.44
ORD-00190,2023-06-01,East,Electronics,Online,12,183.31,0.0,2199.72,Jun,6,Q2,0.216,475.14
ORD-00191,2023-11-11,North,Electronics,Online,10,711.72,0.15,6049.62,Nov,11,Q4,0.13,786.45
ORD-00192,2023-06-09,West,Sports,In-Store,2,43.95,0.0,87.9,Jun,6,Q2,0.43,37.8
ORD-00193,2023-04-06,East,Electronics,Wholesale,11,998.47,0.0,10983.17,Apr,4,Q2,0.281,3086.27
ORD-00194,2023-08-21,West,Clothing,Online,4,77.73,0.05,295.37,Aug,8,Q3,0.126,37.22
ORD-00195,2023-06-29,South,Electronics,In-Store,2,740.55,0.05,1407.04,Jun,6,Q2,0.386,543.12
ORD-00196,2023-04-23,South,Clothing,In-Store,6,70.3,0.0,421.8,Apr,4,Q2,0.404,170.41
ORD-00197,2023-11-14,East,Electronics,In-Store,8,971.63,0.2,6218.43,Nov,11,Q4,0.324,2014.77
ORD-00198,2023-02-21,South,Furniture,Online,10,806.93,0.05,7665.83,Feb,2,Q1,0.257,1970.12
ORD-00199,2023-09-25,North,Electronics,In-Store,4,568.57,0.05,2160.57,Sep,9,Q3,0.332,717.31
ORD-00200,2023-10-22,East,Food & Beverage,Online,5,52.46,0.05,249.18,Oct,10,Q4,0.347,86.47
ORD-00201,2023-04-23,East,Electronics,In-Store,4,430.43,0.05,1635.63,Apr,4,Q2,0.413,675.52
ORD-00202,2023-04-11,East,Furniture,Online,3,518.42,0.0,1555.26,Apr,4,Q2,0.435,676.54
ORD-00203,2023-04-23,South,Sports,Online,5,347.74,0.0,1738.7,Apr,4,Q2,0.28,486.84
ORD-00204,2023-03-22,South,Food & Beverage,In-Store,14,22.92,0.05,304.84,Mar,3,Q1,0.379,115.53
ORD-00205,2023-07-06,East,Furniture,Online,9,862.31,0.1,6984.71,Jul,7,Q3,0.438,3059.3
ORD-00206,2023-04-23,West,Clothing,Online,8,41.94,0.0,335.52,Apr,4,Q2,0.153,51.33
ORD-00207,2023-01-02,South,Clothing,In-Store,8,23.29,0.05,177.0,Jan,1,Q1,0.106,18.76
ORD-00208,2023-05-10,South,Food & Beverage,In-Store,8,54.73,0.1,394.06,May,5,Q2,0.404,159.2
ORD-00209,2023-08-08,East,Sports,In-Store,12,55.4,0.0,664.8,Aug,8,Q3,0.168,111.69
ORD-00210,2023-02-23,West,Food & Beverage,Online,8,59.55,0.0,476.4,Feb,2,Q1,0.115,54.79
ORD-00211,2023-12-09,East,Furniture,Online,7,860.15,0.0,6021.05,Dec,12,Q4,0.156,939.28
ORD-00212,2023-08-12,South,Food & Beverage,Online,8,12.54,0.05,95.3,Aug,8,Q3,0.234,22.3
ORD-00213,2023-08-13,East,Furniture,Online,11,520.82,0.0,5729.02,Aug,8,Q3,0.177,1014.04
ORD-00214,2023-05-06,East,Electronics,Wholesale,14,344.17,0.0,4818.38,May,5,Q2,0.207,997.4
ORD-00215,2023-05-10,East,Furniture,Online,8,431.09,0.05,3276.28,May,5,Q2,0.441,1444.84
ORD-00216,2023-02-22,West,Sports,Online,13,52.73,0.05,651.22,Feb,2,Q1,0.347,225.97
ORD-00217,2023-06-21,East,Electronics,Online,14,385.12,0.0,5391.68,Jun,6,Q2,0.349,1881.7
ORD-00218,2023-08-06,South,Food & Beverage,Online,8,24.98,0.0,199.84,Aug,8,Q3,0.133,26.58
ORD-00219,2023-06-09,East,Electronics,In-Store,12,610.58,0.1,6594.26,Jun,6,Q2,0.356,2347.56
ORD-00220,2023-07-17,West,Furniture,In-Store,10,881.55,0.15,7493.18,Jul,7,Q3,0.359,2690.05
ORD-00221,2023-09-04,North,Electronics,Online,7,998.26,0.15,5939.65,Sep,9,Q3,0.331,1966.02
ORD-00222,2023-11-20,West,Furniture,Online,12,684.68,0.05,7805.35,Nov,11,Q4,0.18,1404.96
ORD-00223,2023-07-22,East,Food & Beverage,Online,1,34.54,0.0,34.54,Jul,7,Q3,0.248,8.57
ORD-00224,2023-07-03,North,Clothing,In-Store,4,171.2,0.0,684.8,Jul,7,Q3,0.396,271.18
ORD-00225,2023-05-03,East,Food & Beverage,In-Store,13,23.66,0.0,307.58,May,5,Q2,0.335,103.04
ORD-00226,2023-09-12,West,Food & Beverage,Online,13,43.99,0.0,571.87,Sep,9,Q3,0.356,203.59
ORD-00227,2023-10-21,North,Sports,Online,4,397.7,0.05,1511.26,Oct,10,Q4,0.306,462.45
ORD-00228,2023-10-07,North,Electronics,In-Store,5,480.36,0.0,2401.8,Oct,10,Q4,0.257,617.26
ORD-00229,2023-11-21,East,Clothing,Wholesale,10,141.32,0.0,1413.2,Nov,11,Q4,0.366,517.23
ORD-00230,2023-04-08,East,Electronics,Wholesale,6,1036.53,0.2,4975.34,Apr,4,Q2,0.124,616.94
ORD-00231,2023-07-17,West,Sports,Online,4,368.85,0.0,1475.4,Jul,7,Q3,0.336,495.73
ORD-00232,2023-08-28,East,Sports,Online,2,295.64,0.0,591.28,Aug,8,Q3,0.449,265.48
ORD-00233,2023-05-24,North,Furniture,Online,6,312.56,0.0,1875.36,May,5,Q2,0.373,699.51
ORD-00234,2023-04-07,South,Food & Beverage,In-Store,8,22.95,0.05,174.42,Apr,4,Q2,0.202,35.23
ORD-00235,2023-07-20,South,Furniture,Wholesale,8,97.02,0.05,737.35,Jul,7,Q3,0.197,145.26
ORD-00236,2023-05-04,West,Food & Beverage,Online,7,46.85,0.0,327.95,May,5,Q2,0.334,109.54
ORD-00237,2023-07-06,East,Electronics,Online,6,194.88,0.05,1110.82,Jul,7,Q3,0.414,459.88
ORD-00238,2023-11-22,West,Food & Beverage,Online,2,52.56,0.1,94.61,Nov,11,Q4,0.302,28.57
